all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
A_07_P014089,1,4168.457,1.1148804,3890.893,1,4275.275,1.1237352,3817.548,0.99999994,3935.844,0.9581523,3492.376,"orf, hypothetical protein [b2361]",yfdR,CPS-53 (KpLE1) prophage; conserved protein,,chr:2473477-2473536,946834,b2361
A_07_P014091,1,1553.782,1.0546473,1371.965,1,1556.316,1.0758574,1330.482,1,1350.025,1.047003,1308.996,"orf, hypothetical protein [b2362]",yfdS,CPS-53 (KpLE1) prophage; predicted protein,,chr:2473680-2473739,946426,b2362
A_07_P014098,1,3434.747,1.0175776,2926.227,1,3191.059,1.1284741,2861.429,0.99999994,2420.198,0.8351436,1871.805,"orf, hypothetical protein [b2363]",yfdT,CPS-53 (KpLE1) prophage; predicted protein,,chr:2474141-2474200,946836,b2363
A_07_P014105,1,3337.386,1.0252578,2864.74,1,3055.94,1.1604931,2818.019,1,2771.018,0.9923843,2546.641,D-serine dehydratase [b2364],dsdC,DNA-binding transcriptional dual regulator,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0009063(amino acid catabolic process)|GO:0016563(transcription activator activity),chr:2474807-2474748,948828,b2364
A_07_P014107,1,7165.857,0.97760296,5865.112,1,6871.866,1.0668417,5825.473,1,5778.476,0.9993919,5348.077,transport system permease [b2365],dsdX,predicted transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2477103-2477162,949103,b2365
A_07_P014111,1,5769.459,1.0452855,5049.12,1,5802.698,1.2203319,5626.839,1,5202.511,0.8796111,4237.915,D-serine dehydratase [b2366],dsdA,D-serine ammonia-lyase,GO:0005737(cytoplasm)|GO:0009063(amino acid catabolic process),chr:2478179-2478238,946837,b2366
A_07_P014116,1,3720.41,1.0265285,3197.477,1,3713.652,1.0621673,3134.373,1,2148.95,1.2680788,2523.603,multidrug resistance protein Y [b2367],emrY,predicted multidrug efflux system,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane)|GO:0042493(response to drug),chr:2478790-2478731,946835,b2367
A_07_P014123,1,7150.994,0.8777474,5255.108,1,5968.617,1.1468371,5439.162,1,5458.785,0.8564186,4329.429,multidrug resistance protein K [b2368],emrK,"EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component",GO:0042493(response to drug),chr:2480293-2480234,946840,b2368
A_07_P014130,1,6543.35,0.7970736,4366.609,1,5735.795,1.0743542,4896.634,1,4492.823,0.85536146,3558.914,putative positive transcription regulator [b2369],evgA,DNA-binding response regulator in two-component regulatory system with EvgS,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0016563(transcription activator activity),chr:2482180-2482239,946841,b2369
A_07_P014135,1,1967.395,1.161737,1913.573,1,2094.366,1.0782137,1794.378,1,1777.343,0.9659811,1589.968,putative sensor for regulator EvgA [b2370],evgS,hybrid sensory histidine kinase in two-component regulatory system with EvgA,GO:0006464(protein modification process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2485930-2485989,946844,b2370
A_07_P014140,1,2520.891,1.1045226,2331.172,1,2609.01,1.1080992,2297.264,1,2336.792,0.9011193,1950.073,putative enzyme [b2371],yfdE,"predicted CoA-transferase, NAD(P)-binding",,chr:2486186-2486127,946432,b2371
A_07_P014141,1,4331.444,1.1415143,4139.613,1,4961.577,1.1259257,4439.009,1,4199.363,0.90375227,3514.644,putative receptor protein [b2372],yfdV,predicted transporter,,chr:2487757-2487698,949110,b2372
A_07_P014150,1,5071.614,0.9506474,4036.559,1,4438.937,1.1442779,4036.147,1,3608.03,0.9595656,3206.22,putative enzyme [b2373],oxc,predicted oxalyl-CoA decarboxylase,,chr:2488337-2488278,946845,b2373
A_07_P014154,1,3462.4,0.9868202,2860.625,1,3446.448,1.0900931,2985.327,1,3153.262,0.958885,2800.11,putative enzyme [b2374],frc,"formyl-CoA transferase, NAD(P)-binding",,chr:2490179-2490120,946842,b2374
A_07_P014160,1,6084.535,1.0906091,5555.743,1,6230.192,1.10579,5474.325,1,5638.556,0.9855461,5146.28,"orf, hypothetical protein [b2375]",yfdX,predicted protein,,chr:2491955-2491896,949108,b2375
A_07_P014164,1,3512,1.0972989,3226.451,1,3449.519,1.0476848,2871.744,1,2973.493,0.9152187,2520.231,"orf, hypothetical protein [b2376]",ypdI,predicted lipoprotein involved in colanic acid biosynthesis,,chr:2492886-2492945,949107,b2376
A_07_P014168,1,8267.677,1.0285294,7119.441,1,6837.705,1.088274,5912.963,1,5373.864,0.9849383,4901.672,"orf, hypothetical protein [b2377]",yfdY,predicted inner membrane protein,,chr:2493197-2493138,948842,b2377
A_07_P014174,1,3491.335,1.2045029,3520.83,1,3591.542,1.034956,2953.652,1,2961.236,0.97748065,2680.586,putative heat shock protein [b2378],lpxP,palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase,"GO:0009245(lipid A biosynthetic process)|GO:0009266(response to temperature stimulus)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane)|GO:0042280(cell surface antigen activity, host-interacting)",chr:2494454-2494513,946847,b2378
A_07_P014179,1,1697.721,1.1256198,1599.94,1,1657.294,1.0442104,1375.131,1,1438.497,1.2101301,1612.091,putative aminotransferase [b2379],yfdZ,"prediected aminotransferase, PLP-dependent",,chr:2495849-2495790,946850,b2379
A_07_P014183,1,4275.06,1.0756834,3850.103,1,3829.731,1.1201596,3408.825,1,3467.121,1.0296314,3305.973,putative sensor protein [b2380],ypdA,predicted sensory kinase in two-component system with YpdB,,chr:2497993-2498052,946723,b2380
A_07_P014186,1,1873.593,1.0837414,1699.991,1,2082.777,0.9139477,1512.588,1,2011.824,0.94911784,1768.311,putative 2-component transcriptional regulator [b2381],ypdB,predicted response regulator in two-component system withYpdA,GO:0006350(transcription),chr:2499021-2499080,947395,b2381
A_07_P014191,0.99999994,2397.06,1.2191985,2446.803,1,2561.834,1.0175825,2071.463,1,2104.722,1.0249227,1997.719,putative ARAC-type regulatory protein [b2382],ypdC,predicted DNA-binding protein,GO:0006350(transcription)|GO:0016563(transcription activator activity),chr:2499868-2499927,946856,b2382
A_07_P014196,1,3169.469,1.0792677,2863.923,1,3194.304,1.0816926,2745.596,1,2662.314,0.9634361,2375.367,"putative PTS system enzyme IIA component, enzyme I [b2383]",fryA,fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component,GO:0009401(phosphoenolpyruvate-dependent sugar phosphotransferase system),chr:2500438-2500379,946852,b2383
A_07_P014205,1,735.3464,1.1963375,736.5315,0.99999994,697.9456,0.987392,547.6054,1,555.871,1.2033453,619.4593,"orf, hypothetical protein [b2384]",ypdE,predicted peptidase,,chr:2502595-2502536,946848,b2384
A_07_P014206,1,2136.505,1.1295549,2020.491,1,2320.323,0.97297305,1793.931,0.99999994,2056.887,1.0531892,2006.159,putative peptidase [b2385],ypdF,predicted peptidase,,chr:2503811-2503752,946853,b2385
A_07_P014214,1,743.6835,1.1623286,723.7069,1,491.6299,1.6979253,663.3051,1,572.3324,1.2241939,648.8541,putative transport protein [b2386],fryC,predicted enzyme IIC component of PTS,GO:0016052(carbohydrate catabolic process),chr:2505381-2505322,949111,b2386
A_07_P014219,1,1037.735,1.1049043,959.968,1,1038.355,1.0376449,856.1525,1,805.6231,1.1604447,865.7748,putative PTS system enzyme IIB component [b2387],fryB,predicted enzyme IIB component of PTS,GO:0009401(phosphoenolpyruvate-dependent sugar phosphotransferase system),chr:2506002-2505943,949087,b2387
A_07_P014224,1,4874.005,1.0736289,4381.127,1,4638.864,1.029641,3795.369,0.99999994,3781.226,1.0604258,3713.312,glucokinase [b2388],glk,glucokinase,GO:0005737(cytoplasm)|GO:0016052(carbohydrate catabolic process),chr:2506597-2506538,946858,b2388
A_07_P014227,1,2521.593,1.0058746,2123.56,1,2420.876,1.0804801,2078.48,1,2049.824,1.0878601,2065.086,"orf, hypothetical protein [b2389]",yfeO,predicted ion channel protein,,chr:2508256-2508315,946854,b2389
A_07_P014232,0.99999994,2719.95,1.1452935,2608.095,1,2668.562,1.0091064,2139.788,1,2230.722,1.029292,2126.339,"orf, hypothetical protein [b2390]",ypeC,conserved protein,,chr:2509105-2509164,946855,b2390
A_07_P014241,1,5186.075,1.1033792,4790.814,1,4718.454,1.1735696,4400.126,1,4231.867,1.017943,3989.367,putative transport system permease [b2392],mntH,manganese/divalent cation transporter,GO:0006805(xenobiotic metabolic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2509701-2509642,946899,b2392
A_07_P014250,1,3557.185,1.010641,3009.879,1,3177.5,1.160759,2930.786,1,2922.515,0.79964226,2164.218,permease of transport system for 3 nucleosides [b2393],nupC,nucleoside (except guanosine) transporter,"GO:0009274(peptidoglycan-based cell wall)|GO:0015949(nucleobase, nucleoside and nucleotide interconversion)|GO:0019866(organelle inner membrane)",chr:2512115-2512174,946895,b2393
A_07_P014253,1,7797.027,1.1164871,7288.337,1,9145.636,1.0271692,7464.701,1,7083.011,1.2203432,8004.763,IS186 hypothetical protein [b2394],insL,IS186/IS421 transposase,,chr:2513369-2513428,946896,b2394
A_07_P014259,1,1841.816,1.0312304,1590.185,1,1649.324,1.1641484,1525.706,0.99999994,1293.674,1.1629415,1393.257,"orf, hypothetical protein [b2395]",yfeA,predicted diguanylate cyclase,,chr:2513857-2513798,946864,b2395
A_07_P014262,1,3698.218,1.0620582,3288.414,1,4025.212,1.0603637,3391.565,1,3404.765,1.0300716,3247.903,"orf, hypothetical protein [b2398]",yfeC,predicted DNA-binding transcriptional regulator,,chr:2516753-2516812,946857,b2398
A_07_P014266,1,2116.238,1.0944352,1939.1,0.99999994,2167.747,0.9719346,1674.18,1,1169.025,1.5927637,1724.343,"orf, hypothetical protein [b2399]",yfeD,predicted DNA-binding transcriptional regulator,,chr:2517119-2517178,946865,b2399
A_07_P014274,1,3693.413,1.0196875,3153.121,1,3421.073,1.0105824,2747.202,1,2306.45,1.1597493,2477.175,"glutamate tRNA synthetase, catalytic subunit [b2400]",gltX,glutamyl-tRNA synthetase,GO:0005737(cytoplasm)|GO:0006418(tRNA aminoacylation for protein translation),chr:2517744-2517685,946906,b2400
A_07_P014278,1,2561.494,1.0426381,2236.004,0.99999994,2608.319,1.0384842,2152.371,1,2179.843,1.1319525,2285.083,regulator for xapA [b2405],xapR,DNA-binding transcriptional activator,"GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0015949(nucleobase, nucleoside and nucleotide interconversion)|GO:0016563(transcription activator activity)",chr:2519728-2519669,946862,b2405
A_07_P014281,1,4936.034,0.91532344,3782.67,1,3975.847,1.1093781,3504.82,1,3331.061,1.0410084,3211.333,xanthosine permease [b2406],xapB,xanthosine transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0016052(carbohydrate catabolic process)|GO:0019866(organelle inner membrane),chr:2520869-2520810,946868,b2406
A_07_P014289,1,2855.833,1.0938883,2615.48,1,2899.581,1.0062411,2318.429,1,2583.187,0.9420756,2253.669,xanthosine phosphorylase [b2407],xapA,purine nucleoside phosphorylase  II,"GO:0015949(nucleobase, nucleoside and nucleotide interconversion)",chr:2522292-2522233,946878,b2407
A_07_P013096,1,5721.787,1.1620647,5566.826,1,5990.106,1.1121151,5293.474,1,5533.719,1.0498836,5380.304,putative sugar hydrolase [b2408],yfeN,conserved outer membrane protein,,chr:2523818-2523877,946872,b2408
A_07_P013101,1,2099.497,1.0407674,1829.425,1,2138.07,0.9618118,1634.062,1,1877.015,1.0082673,1752.637,putative transcriptional regulator LYSR-type [b2409],yfeR,predicted DNA-binding transcriptional regulator,GO:0006350(transcription)|GO:0016563(transcription activator activity)|GO:0016564(transcription repressor activity),chr:2524563-2524504,946873,b2409
A_07_P013107,1,4049.023,0.98980534,3355.411,1,3588.175,1.1137897,3175.655,1,3209.082,0.9970407,2963.072,putative cytochrome oxidase [b2410],yfeH,predicted inner membrane protein,,chr:2525746-2525805,946874,b2410
A_07_P013113,0.99999994,4788.654,1.0817629,4337.018,1,4843.126,1.0868262,4182.562,0.99999994,4269.652,0.98840845,3908.206,DNA ligase [b2411],ligA,"DNA ligase, NAD(+)-dependent",GO:0005737(cytoplasm)|GO:0006281(DNA repair),chr:2526826-2526767,946885,b2411
A_07_P013120,1,2208.847,1.0272064,1899.63,0.99999994,2105.95,1.0207183,1708.089,1,1832.534,1.1054673,1876.059,cell division protein involved in FtsZ ring [b2412],zipA,cell division protein involved in Z ring assembly,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2528485-2528426,946869,b2412
A_07_P013124,1,4147.443,1.1336969,3936.616,1,4518.707,1.020799,3665.312,1,3666.963,1.2739786,4326.305,required for sulfate transport [b2413],cysZ,predicted inner membrane protein,GO:0006790(sulfur metabolic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2529919-2529978,946875,b2413
A_07_P013130,1,3326.443,1.0860789,3024.734,1,3604.807,0.99221945,2842.145,1,3156.455,0.7369744,2154.272,"cysteine synthase A, O-acetylserine sulfhydrolase A [b2414]",cysK,"cysteine synthase A, O-acetylserine sulfhydrolase A subunit",GO:0005737(cytoplasm)|GO:0019344(cysteine biosynthetic process),chr:2531342-2531401,946877,b2414
A_07_P013132,1,1622.656,1.0730733,1457.812,1,1591.965,1.1195096,1416.178,1,1629.135,1.3252519,1999.42,PTS system protein HPr [b2415],ptsH,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr),GO:0016052(carbohydrate catabolic process),chr:2531850-2531909,946886,b2415
A_07_P013136,1,1389.6926,1.0094352,1174.4725,1,1515.965,0.95084107,1145.3906,0.99999994,1283.8851,1.0246835,1218.3286,PEP-protein phosphotransferase system enzyme I [b2416],ptsI,PEP-protein phosphotransferase of PTS system (enzyme I),GO:0016052(carbohydrate catabolic process),chr:2533745-2533804,946879,b2416
A_07_P013145,1,3687.282,1.0309755,3182.734,1,3563.171,1.0826185,3065.269,0.99999994,3108.183,1.0834488,3118.628,"PTS system, glucose-specific IIA component [b2417]",crr,glucose-specific enzyme IIA component of PTS,GO:0005737(cytoplasm)|GO:0016052(carbohydrate catabolic process),chr:2534257-2534316,946880,b2417
A_07_P013150,1,4714.882,1.0806818,4265.936,1,4795.198,1.124405,4284.359,1,4393.356,0.99668944,4055.13,pyridoxal/pyridoxine/pyridoxamine kinase [b2418],pdxK,pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase,,chr:2534875-2534816,946881,b2418
A_07_P013154,1,3821.148,0.8350892,2671.606,1,3081.715,0.96019375,2351.299,1,2239.204,1.1782591,2443.335,"orf, hypothetical protein [b2419]",yfeK,predicted protein,,chr:2535587-2535646,946876,b2419
A_07_P013157,1,9636.656,0.93446267,7539.351,1,8242.442,1.0641494,6969.716,1,6989.125,0.9959128,6446.035,"orf, hypothetical protein [b2420]",yfeS,conserved protein,,chr:2536266-2536325,946887,b2420
A_07_P013164,1,4500.935,1.0784523,4063.959,1,4863.646,1.0212916,3947.01,1,4015.376,1.1953214,4444.874,"cysteine synthase B, O-acetylserine sulfhydrolase B [b2421]",cysM,cysteine synthase B (O-acetylserine sulfhydrolase B),GO:0019344(cysteine biosynthetic process),chr:2537205-2537146,946888,b2421
A_07_P013166,1,1692.038,1.0630039,1505.881,1,1719.016,0.9962545,1360.839,1,1549.822,1.0927483,1568.377,ATP-binding component of sulfate permease A protein; chromate resistance [b2422],cysA,sulfate/thiosulfate transporter subunit,GO:0005737(cytoplasm)|GO:0006790(sulfur metabolic process)|GO:0015419(sulfate transmembrane-transporting ATPase activity)|GO:0042493(response to drug),chr:2538296-2538237,946889,b2422
A_07_P013174,0.99999994,2219.552,1.1019167,2047.669,1,2298.748,1.0303683,1882.09,1,2012.382,1.0426573,1943.124,sulfate transport system permease W protein [b2423],cysW,sulfate/thiosulfate transporter subunit,GO:0006790(sulfur metabolic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2538915-2538856,2847743,b2423
A_07_P013177,0.99999994,2077.473,1.0665629,1855.101,1,2220.669,1.0181216,1796.553,0.99999994,2041.543,1.0137768,1916.679,"sulfate, thiosulfate transport system permease T protein [b2424]",cysU,sulfate/thiosulfate transporter subunit,GO:0006790(sulfur metabolic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2540173-2540114,946882,b2424
A_07_P013181,1,1266.625,1.0451931,1108.384,1,1322.161,1.0005441,1051.18,1,1216.063,0.8926969,1005.33,thiosulfate binding protein [b2425],cysP,thiosulfate transporter subunit,GO:0006790(sulfur metabolic process)|GO:0042597(periplasmic space),chr:2541021-2540962,946883,b2425
A_07_P013188,1,2413.242,0.96445745,1948.631,1,2396.7,0.9847475,1875.405,1,1951.125,1.1016107,1990.498,putative oxidoreductase [b2426],ucpA,"predicted oxidoredutase, sulfate metabolism protein",,chr:2542343-2542284,946898,b2426
A_07_P013192,0.99999994,1132.278,1.0441706,989.8519,0.99999994,1127.626,0.91929644,823.7154,1,639.633,1.6802737,995.3123,"orf, hypothetical protein [b2427]",yfeT,predicted DNA-binding transcriptional regulator,,chr:2542875-2542816,946568,b2427
A_07_P013199,0.99999994,4829.953,1.11846,4522.818,1,4815.553,1.1173306,4275.475,1,4381.072,1.0118078,4105.13,putative regulator [b2428],murQ,predicted PTS component,,chr:2544148-2544207,946893,b2428
A_07_P013201,0.99999994,2095.965,1.0362368,1818.397,0.99999994,2015.7,0.9864416,1579.988,1,1669.624,1.1635594,1799.102,putative PTS enzyme II [b2429],murP,fused predicted PTS enzymes: IIB component/IIC component,GO:0016052(carbohydrate catabolic process),chr:2545175-2545234,946894,b2429
A_07_P013207,1,3058.085,0.960356,2458.824,1,2749.933,0.9712376,2122.287,1,2222.502,1.1312091,2328.271,putative beta-lactamase [b2430],yfeW,predicted periplasmic esterase,GO:0016052(carbohydrate catabolic process),chr:2547257-2547316,946907,b2430
A_07_P013214,1,2016.139,1.0413232,1757.728,1,2155.063,0.96329784,1649.594,1,1598.535,1.1310588,1674.387,"orf, hypothetical protein [b2431]",yfeX,conserved protein,,chr:2548299-2548240,946913,b2431
A_07_P013216,1,357.0964,1.1957525,357.497,1,402.7941,1.0497291,335.9827,1,268.2749,1.4907519,370.3684,"orf, hypothetical protein [b2432]",yfeY,predicted protein,,chr:2548862-2548803,946919,b2432
A_07_P013222,1,2951.085,1.0197201,2519.465,1,2912.402,1.0028635,2320.864,1,2505.131,1.0644543,2469.483,"orf, hypothetical protein [b2433]",yfeZ,predicted inner membrane protein,,chr:2549360-2549301,946918,b2433
A_07_P013229,1,4395.213,0.94532007,3478.6,1,3881.295,1.0567893,3259.279,0.99999994,3461.463,1.0430423,3343.568,"orf, hypothetical protein [b2434]",ypeA,predicted acyltransferase with acyl-CoA N-acyltransferase domain,,chr:2550067-2550008,946917,b2434
A_07_P013234,1,1755.302,1.1609038,1706.058,1,2133.903,0.91440564,1550.494,1,1652.911,1.1305804,1730.611,N-acetylmuramoyl-l-alanine amidase I [b2435],amiA,N-acetylmuramoyl-l-alanine amidase I,GO:0009252(peptidoglycan biosynthetic process)|GO:0009274(peptidoglycan-based cell wall),chr:2550967-2551026,946916,b2435
A_07_P013240,1,3023.113,0.9777084,2474.625,1,2973.291,1.0404207,2458.119,1,2599.232,1.0776018,2593.892,coproporphyrinogen III oxidase [b2436],hemF,coproporphyrinogen III oxidase,GO:0005737(cytoplasm),chr:2552072-2552131,946908,b2436
A_07_P013241,1,1644.437,1.0256135,1412.039,1,1615.707,0.9520492,1222.302,1,1032.28,1.4218098,1359.213,putative ARAC-type regulatory protein [b2437],eutR,predicted DNA-binding transcriptional regulator,GO:0006350(transcription)|GO:0009310(amine catabolic process)|GO:0016563(transcription activator activity),chr:2553009-2552950,946911,b2437
A_07_P013247,0.99999994,2445.515,1.0438998,2137.346,1,2575.128,0.96278036,1970.074,1,2284.407,1.0707365,2265.19,"orf, hypothetical protein [b2438]",eutK,predicted carboxysome structural protein with predicted role in ethanolamine utilization,GO:0009310(amine catabolic process),chr:2553309-2553250,946912,b2438
