gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15830755|ref|NP_309528.1|	integrase	ECs1501	NA
gi|15830754|ref|NP_309527.1|	spermidine/putrescine ABC transporter membrane protein	ECs1500	potC
gi|15830757|ref|NP_309530.1|	hypothetical protein ECs1503	ECs1503	NA
gi|15830756|ref|NP_309529.1|	excisionase	ECs1502	NA
gi|15830759|ref|NP_309532.1|	hypothetical protein ECs1505	ECs1505	NA
gi|15830758|ref|NP_309531.1|	hypothetical protein ECs1504	ECs1504	NA
gi|15833459|ref|NP_312232.1|	hypothetical protein ECs4205	ECs4205	NA
gi|15834564|ref|NP_313337.1|	hypothetical protein ECs5310	ECs5310	NA
gi|15833219|ref|NP_311992.1|	hypothetical protein ECs3965	ECs3965	NA
gi|15833218|ref|NP_311991.1|	hypothetical protein ECs3964	ECs3964	NA
gi|15832718|ref|NP_311491.1|	phospho-2-dehydro-3-deoxyheptonate aldolase	ECs3464	NA
gi|15833211|ref|NP_311984.1|	DNA-binding transcriptional repressor EbgR	ECs3957	NA
gi|15833210|ref|NP_311983.1|	hypothetical protein ECs3956	ECs3956	NA
gi|15831985|ref|NP_310758.1|	head decoration protein	ECs2731	NA
gi|15833215|ref|NP_311988.1|	hypothetical protein ECs3961	ECs3961	NA
gi|15833214|ref|NP_311987.1|	oxidoreductase	ECs3960	NA
gi|15833217|ref|NP_311990.1|	NADPH dehydrogenase	ECs3963	NA
gi|15833216|ref|NP_311989.1|	glycosyl hydrolase	ECs3962	NA
gi|38704261|ref|NP_944586.1|	endoribonuclease SymE	ECs5593	NA
gi|15834427|ref|NP_313200.1|	L-xylulose 5-phosphate 3-epimerase	ECs5173	NA
gi|15833437|ref|NP_312210.1|	50S ribosomal protein L23	ECs4183	rplW
gi|15834560|ref|NP_313333.1|	type I restriction-modification enzyme S subunit	ECs5306	NA
gi|15833709|ref|NP_312482.1|	valine--pyruvate transaminase	ECs4455	avtA
gi|15834510|ref|NP_313283.1|	hypothetical protein ECs5256	ECs5256	NA
gi|15832188|ref|NP_310961.1|	hypothetical protein ECs2934	ECs2934	NA
gi|15832189|ref|NP_310962.1|	hypothetical protein ECs2935	ECs2935	NA
gi|15832186|ref|NP_310959.1|	transposase	ECs2932	NA
gi|15832187|ref|NP_310960.1|	transposase	ECs2933	NA
gi|15832184|ref|NP_310957.1|	hypothetical protein ECs2930	ECs2930	NA
gi|15832185|ref|NP_310958.1|	hypothetical protein ECs2931	ECs2931	NA
gi|15832180|ref|NP_310953.1|	hypothetical protein ECs2926	ECs2926	NA
gi|15832181|ref|NP_310954.1|	hypothetical protein ECs2927	ECs2927	NA
gi|15833623|ref|NP_312396.1|	methyltransferase	ECs4369	NA
gi|38704197|ref|NP_312660.2|	hypothetical protein ECs4633	ECs4633	NA
gi|15834337|ref|NP_313110.1|	carbon-phosphorus lyase complex subunit	ECs5083	phnH
gi|15834333|ref|NP_313106.1|	phosphonate ABC transporter ATP-binding protein	ECs5079	NA
gi|15834140|ref|NP_312913.1|	acetylornithine deacetylase	ECs4886	NA
gi|38704227|ref|NP_313056.2|	zinc uptake transcriptional repressor	ECs5029	NA
gi|38704194|ref|NP_944571.1|	hypothetical protein ECs5541	ECs5541	NA
gi|15833109|ref|NP_311882.1|	enterotoxin	ECs3855	NA
gi|15833108|ref|NP_311881.1|	hypothetical protein ECs3854	ECs3854	NA
gi|15833104|ref|NP_311877.1|	virulence-related membrane protein	ECs3850	NA
gi|15833106|ref|NP_311879.1|	hypothetical protein ECs3852	ECs3852	NA
gi|15833101|ref|NP_311874.1|	hypothetical protein ECs3847	ECs3847	NA
gi|15833100|ref|NP_311873.1|	hypothetical protein ECs3846	ECs3846	NA
gi|15833103|ref|NP_311876.1|	hypothetical protein ECs3849	ECs3849	NA
gi|15832374|ref|NP_311147.1|	hypothetical protein ECs3120	ECs3120	NA
gi|15832454|ref|NP_311227.1|	acetyl-CoA carboxylase subunit beta	ECs3200	NA
gi|15832455|ref|NP_311228.1|	hypothetical protein ECs3201	ECs3201	NA
gi|15832456|ref|NP_311229.1|	tRNA pseudouridine synthase A	ECs3202	truA
gi|15832457|ref|NP_311230.1|	semialdehyde dehydrogenase	ECs3203	NA
gi|15832450|ref|NP_311223.1|	amidophosphoribosyltransferase	ECs3196	NA
gi|15832451|ref|NP_311224.1|	colicin V production protein	ECs3197	NA
gi|15834141|ref|NP_312914.1|	N-acetyl-gamma-glutamyl-phosphate reductase	ECs4887	argC
gi|15832453|ref|NP_311226.1|	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase	ECs3199	NA
gi|15834056|ref|NP_312829.1|	aldose-1-epimerase	ECs4802	NA
gi|15832458|ref|NP_311231.1|	erythronate-4-phosphate dehydrogenase	ECs3204	NA
gi|15832459|ref|NP_311232.1|	flagella biosynthesis regulator	ECs3205	flk
gi|15831244|ref|NP_310017.1|	host specificity protein	ECs1990	NA
gi|15831245|ref|NP_310018.1|	outer membrane protein	ECs1991	NA
gi|15831246|ref|NP_310019.1|	tail fiber protein	ECs1992	NA
gi|15831247|ref|NP_310020.1|	hypothetical protein ECs1993	ECs1993	NA
gi|15831240|ref|NP_310013.1|	tail assembly protein	ECs1986	NA
gi|15831241|ref|NP_310014.1|	tail assembly protein	ECs1987	NA
gi|15831242|ref|NP_310015.1|	hypothetical protein ECs1988	ECs1988	NA
gi|15831243|ref|NP_310016.1|	copper/zinc-superoxide dismutase	ECs1989	NA
gi|15831248|ref|NP_310021.1|	hypothetical protein ECs1994	ECs1994	NA
gi|15831249|ref|NP_310022.1|	hypothetical protein ECs1995	ECs1995	NA
gi|15834331|ref|NP_313104.1|	ribose 1,5-bisphosphokinase	ECs5077	NA
gi|15832273|ref|NP_311046.1|	beta-D-glucoside glucohydrolase	ECs3019	NA
gi|15833379|ref|NP_312152.1|	dehydrogenase	ECs4125	NA
gi|15834589|ref|NP_313362.1|	hypothetical protein ECs5335	ECs5335	NA
gi|15833867|ref|NP_312640.1|	ilvB operon leader peptide	ECs4613	NA
gi|15834584|ref|NP_313357.1|	DNA polymerase III subunit psi	ECs5330	NA
gi|15832274|ref|NP_311047.1|	D-lactate dehydrogenase	ECs3020	NA
gi|15834586|ref|NP_313359.1|	nucleotidase	ECs5332	NA
gi|15834450|ref|NP_313223.1|	transporter	ECs5196	NA
gi|15834581|ref|NP_313354.1|	ferric hydroximate transport ferric iron reductase	ECs5327	NA
gi|15831718|ref|NP_310491.1|	cytochrome oxidase	ECs2464	NA
gi|15832275|ref|NP_311048.1|	D-alanyl-D-alanine endopeptidase	ECs3021	pbpG
gi|15833236|ref|NP_312009.1|	hypothetical protein ECs3982	ECs3982	NA
gi|38704044|ref|NP_944550.1|	hypothetical protein ECs5479	ECs5479	NA
gi|38704153|ref|NP_312150.2|	rod shape-determining protein MreB	ECs4123	NA
gi|38704206|ref|NP_312811.2|	hypothetical protein ECs4784	ECs4784	NA
gi|15832539|ref|NP_311312.1|	sulfate transport protein CysZ	ECs3285	NA
gi|15832538|ref|NP_311311.1|	cell division protein ZipA	ECs3284	NA
gi|15832537|ref|NP_311310.1|	NAD-dependent DNA ligase LigA	ECs3283	ligA
gi|15832536|ref|NP_311309.1|	cytochrome oxidase	ECs3282	NA
gi|15832334|ref|NP_311107.1|	sulfatase	ECs3080	NA
gi|15832277|ref|NP_311050.1|	hypothetical protein ECs3023	ECs3023	NA
gi|15832533|ref|NP_311306.1|	hypothetical protein ECs3279	ECs3279	NA
gi|15832532|ref|NP_311305.1|	glutamyl-tRNA synthetase	ECs3278	gltX
gi|15832531|ref|NP_311304.1|	transposase TnA	ECs3277	NA
gi|15833071|ref|NP_311844.1|	hypothetical protein ECs3817	ECs3817	NA
gi|15831301|ref|NP_310074.1|	transport system permease	ECs2047	NA
gi|15833073|ref|NP_311846.1|	galactose-proton symport of transport system	ECs3819	NA
gi|15833072|ref|NP_311845.1|	S-adenosylmethionine synthetase	ECs3818	NA
gi|15833075|ref|NP_311848.1|	DNA-specific endonuclease I	ECs3821	NA
gi|15833074|ref|NP_311847.1|	hypothetical protein ECs3820	ECs3820	NA
gi|15833077|ref|NP_311850.1|	glutathione synthetase	ECs3823	NA
gi|15831300|ref|NP_310073.1|	transport system permease	ECs2046	NA
gi|15833079|ref|NP_311852.1|	Holliday junction resolvase-like protein	ECs3825	NA
gi|15834150|ref|NP_312923.1|	tRNA (uracil-5-)-methyltransferase	ECs4896	NA
gi|15834079|ref|NP_312852.1|	PTS system transporter subunits IIBC	ECs4825	NA
gi|15831303|ref|NP_310076.1|	hypothetical protein ECs2049	ECs2049	NA
gi|15831965|ref|NP_310738.1|	hypothetical protein ECs2711	ECs2711	NA
gi|15831302|ref|NP_310075.1|	gamma-aminobutyraldehyde dehydrogenase	ECs2048	NA
gi|15831703|ref|NP_310476.1|	hypothetical protein ECs2449	ECs2449	NA
gi|15831964|ref|NP_310737.1|	sulfite oxidase subunit YedZ	ECs2710	NA
gi|15831305|ref|NP_310078.1|	hypothetical protein ECs2051	ECs2051	NA
gi|15831075|ref|NP_309848.1|	hypothetical protein ECs1821	ECs1821	NA
gi|15831967|ref|NP_310740.1|	hypothetical protein ECs2713	ECs2713	NA
gi|15831304|ref|NP_310077.1|	hypothetical protein ECs2050	ECs2050	NA
gi|15832050|ref|NP_310823.1|	hypothetical protein ECs2796	ECs2796	NA
gi|15831756|ref|NP_310529.1|	hypothetical protein ECs2502	ECs2502	NA
gi|15831966|ref|NP_310739.1|	cytochrome	ECs2712	NA
gi|15831757|ref|NP_310530.1|	hypothetical protein ECs2503	ECs2503	NA
gi|38704190|ref|NP_312560.2|	transporter	ECs4533	NA
gi|15831306|ref|NP_310079.1|	resistance protein	ECs2052	NA
gi|15831754|ref|NP_310527.1|	amino acid/amine transport protein	ECs2500	NA
gi|15831960|ref|NP_310733.1|	2-component sensor protein	ECs2706	NA
gi|15830917|ref|NP_309690.1|	outer membrane protease	ECs1663	NA
gi|15830916|ref|NP_309689.1|	hypothetical protein ECs1662	ECs1662	NA
gi|15834292|ref|NP_313065.1|	hypothetical protein ECs5038	ECs5038	NA
gi|15830914|ref|NP_309687.1|	hypothetical protein ECs1660	ECs1660	NA
gi|15830913|ref|NP_309686.1|	hypothetical protein ECs1659	ECs1659	NA
gi|15830912|ref|NP_309685.1|	hypothetical protein ECs1658	ECs1658	NA
gi|15830911|ref|NP_309684.1|	hypothetical protein ECs1657	ECs1657	NA
gi|15830910|ref|NP_309683.1|	hypothetical protein ECs1656	ECs1656	NA
gi|15834298|ref|NP_313071.1|	DNA-binding transcriptional regulator SoxS	ECs5044	NA
gi|15834299|ref|NP_313072.1|	redox-sensitive transcriptional activator SoxR	ECs5045	NA
gi|15831962|ref|NP_310735.1|	hypothetical protein ECs2708	ECs2708	NA
gi|15833659|ref|NP_312432.1|	EAL domain-containing protein	ECs4405	NA
gi|15830919|ref|NP_309692.1|	transposase	ECs1665	NA
gi|15830918|ref|NP_309691.1|	hypothetical protein ECs1664	ECs1664	NA
gi|15832623|ref|NP_311396.1|	GMP synthase	ECs3369	guaA
gi|15832622|ref|NP_311395.1|	hypothetical protein ECs3368	ECs3368	NA
gi|15832621|ref|NP_311394.1|	outer membrane lipoprotein	ECs3367	NA
gi|15831063|ref|NP_309836.1|	hypothetical protein ECs1809	ECs1809	NA
gi|15829818|ref|NP_308591.1|	tRNA 2-selenouridine synthase	ECs0564	NA
gi|15829819|ref|NP_308592.1|	AllS family transcriptional regulator	ECs0565	NA
gi|15832625|ref|NP_311398.1|	exodeoxyribonuclease VII large subunit	ECs3371	xseA
gi|15832624|ref|NP_311397.1|	inosine 5'-monophosphate dehydrogenase	ECs3370	NA
gi|15829814|ref|NP_308587.1|	protein RhsD	ECs0560	NA
gi|15829815|ref|NP_308588.1|	hypothetical protein ECs0561	ECs0561	NA
gi|15832629|ref|NP_311402.1|	hypothetical protein ECs3375	ECs3375	NA
gi|15831751|ref|NP_310524.1|	hypothetical protein ECs2497	ECs2497	NA
gi|15829810|ref|NP_308583.1|	short chain dehydrogenase	ECs0556	NA
gi|15829811|ref|NP_308584.1|	multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1	ECs0558	NA
gi|15829812|ref|NP_308585.1|	ABC transporter ATP-binding protein	ECs0557	NA
gi|15829813|ref|NP_308586.1|	oxidoreductase	ECs0559	NA
gi|162139732|ref|NP_313051.2|	glycerol-3-phosphate acyltransferase	ECs5024	NA
gi|15831066|ref|NP_309839.1|	hypothetical protein ECs1812	ECs1812	NA
gi|162139735|ref|NP_312918.2|	soluble pyridine nucleotide transhydrogenase	ECs4891	NA
gi|15831067|ref|NP_309840.1|	integrase	ECs1813	NA
gi|15832052|ref|NP_310825.1|	hypothetical protein ECs2798	ECs2798	NA
gi|15834583|ref|NP_313356.1|	16S ribosomal RNA m2G1207 methyltransferase	ECs5329	rsmC
gi|15834307|ref|NP_313080.1|	cytochrome c nitrite reductase pentaheme subunit	ECs5053	NA
gi|162139737|ref|NP_312866.2|	repressor CpxP	ECs4839	cpxP
gi|15833939|ref|NP_312712.1|	AsnC family transcriptional regulator	ECs4685	NA
gi|162139736|ref|NP_312915.2|	acetylglutamate kinase	ECs4888	NA
gi|15834361|ref|NP_313134.1|	sensory histidine kinase DcuS	ECs5107	NA
gi|15833962|ref|NP_312735.1|	ketol-acid reductoisomerase	ECs4708	NA
gi|15829256|ref|NP_308029.1|	bifunctional aspartokinase I/homoserine dehydrogenase I	ECs0002	thrA
gi|15829257|ref|NP_308030.1|	homoserine kinase	ECs0003	NA
gi|15833460|ref|NP_312233.1|	phosphoribulokinase	ECs4206	NA
gi|15829255|ref|NP_308028.1|	thr operon leader peptide	ECs0001	thrL
gi|15833466|ref|NP_312239.1|	cell filamentation protein Fic	ECs4212	NA
gi|15830358|ref|NP_309131.1|	hypothetical protein ECs1104	ECs1104	NA
gi|15833464|ref|NP_312237.1|	bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase	ECs4210	argD
gi|15833430|ref|NP_312203.1|	30S ribosomal protein S17	ECs4176	rpsQ
gi|15830355|ref|NP_309128.1|	hypothetical protein ECs1101	ECs1101	NA
gi|15830354|ref|NP_309127.1|	holin	ECs1100	NA
gi|15830357|ref|NP_309130.1|	hypothetical protein ECs1103	ECs1103	NA
gi|15830356|ref|NP_309129.1|	hypothetical protein ECs1102	ECs1102	NA
gi|15830351|ref|NP_309124.1|	hypothetical protein ECs1098	ECs1098	NA
gi|15830350|ref|NP_309123.1|	endolysin	ECs1096	NA
gi|15829258|ref|NP_308031.1|	threonine synthase	ECs0004	NA
gi|15829259|ref|NP_308032.1|	hypothetical protein ECs0005	ECs0005	NA
gi|15833660|ref|NP_312433.1|	2-dehydro-3-deoxygluconokinase	ECs4406	NA
gi|15833661|ref|NP_312434.1|	hypothetical protein ECs4407	ECs4407	NA
gi|15833662|ref|NP_312435.1|	C4-dicarboxylate transporter DctA	ECs4408	NA
gi|15833432|ref|NP_312205.1|	50S ribosomal protein L16	ECs4178	rplP
gi|38704001|ref|NP_944545.1|	hypothetical protein ECs5460	ECs5460	NA
gi|15833665|ref|NP_312438.1|	endo-1,4-D-glucanase	ECs4411	NA
gi|15833666|ref|NP_312439.1|	cellulose synthase regulator protein	ECs4412	NA
gi|15833915|ref|NP_312688.1|	phosphate transporter ATP-binding protein	ECs4661	pstB
gi|15833668|ref|NP_312441.1|	hypothetical protein ECs4414	ECs4414	NA
gi|15833435|ref|NP_312208.1|	30S ribosomal protein S19	ECs4181	rpsS
gi|15833918|ref|NP_312691.1|	phosphate ABC transporter substrate-binding protein	ECs4664	NA
gi|15833919|ref|NP_312692.1|	fimbrial protein	ECs4665	NA
gi|15834199|ref|NP_312972.1|	phage transposase	ECs4945	NA
gi|15833898|ref|NP_312671.1|	tryptophanase leader peptide	ECs4644	NA
gi|15833434|ref|NP_312207.1|	50S ribosomal protein L22	ECs4180	rplV
gi|15829920|ref|NP_308693.1|	lipoyl synthase	ECs0666	NA
gi|15829923|ref|NP_308696.1|	hypothetical protein ECs0669	ECs0669	NA
gi|15829924|ref|NP_308697.1|	D-alanyl-D-alanine carboxypeptidase	ECs0670	NA
gi|15829925|ref|NP_308698.1|	rare lipoprotein A	ECs0671	NA
gi|15829926|ref|NP_308699.1|	cell wall shape-determining protein	ECs0672	NA
gi|15829927|ref|NP_308700.1|	penicillin-binding protein 2	ECs0673	NA
gi|15829928|ref|NP_308701.1|	rRNA large subunit methyltransferase	ECs0674	NA
gi|15833436|ref|NP_312209.1|	50S ribosomal protein L2	ECs4182	rplB
gi|38704189|ref|NP_944568.1|	hypothetical protein ECs5537	ECs5537	NA
gi|38704188|ref|NP_312549.2|	NAD-dependent DNA ligase LigB	ECs4522	ligB
gi|15833238|ref|NP_312011.1|	transferase	ECs3984	NA
gi|15833531|ref|NP_312304.1|	glycogen branching protein	ECs4277	NA
gi|38704181|ref|NP_312472.2|	hypothetical protein ECs4445	ECs4445	NA
gi|38704180|ref|NP_944567.1|	hypothetical protein ECs5536	ECs5536	NA
gi|15833507|ref|NP_312280.1|	hypothetical protein ECs4253	ECs4253	NA
gi|38704182|ref|NP_312491.2|	aldehyde dehydrogenase	ECs4464	NA
gi|38704185|ref|NP_312534.2|	lipopolysaccharide core biosynthesis protein	ECs4507	NA
gi|15833532|ref|NP_312305.1|	aspartate-semialdehyde dehydrogenase	ECs4278	NA
gi|38704093|ref|NP_311372.2|	hydrogenase 4 membrane subunit	ECs3345	NA
gi|38704186|ref|NP_312543.2|	nucleoid occlusion protein	ECs4516	slmA
gi|15833902|ref|NP_312675.1|	DNA-binding transcriptional regulator YidZ	ECs4648	NA
gi|15831538|ref|NP_310311.1|	inhibitor of cell division	ECs2284	NA
gi|15831539|ref|NP_310312.1|	hypothetical protein ECs2285	ECs2285	NA
gi|15832055|ref|NP_310828.1|	hypothetical protein ECs2801	ECs2801	NA
gi|15834068|ref|NP_312841.1|	hypothetical protein ECs4814	ECs4814	NA
gi|15831532|ref|NP_310305.1|	hypothetical protein ECs2278	ECs2278	NA
gi|15831533|ref|NP_310306.1|	hypothetical protein ECs2279	ECs2279	NA
gi|15831530|ref|NP_310303.1|	replication protein	ECs2276	NA
gi|15831531|ref|NP_310304.1|	hypothetical protein ECs2277	ECs2277	NA
gi|15831536|ref|NP_310309.1|	hypothetical protein ECs2282	ECs2282	NA
gi|15831537|ref|NP_310310.1|	hypothetical protein ECs2283	ECs2283	NA
gi|15831534|ref|NP_310307.1|	hypothetical protein ECs2280	ECs2280	NA
gi|15831535|ref|NP_310308.1|	hypothetical protein ECs2281	ECs2281	NA
gi|15834077|ref|NP_312850.1|	frv operon regulatory protein	ECs4823	NA
gi|15834388|ref|NP_313161.1|	fumarate reductase iron-sulfur subunit	ECs5134	NA
gi|15834197|ref|NP_312970.1|	regulatory protein	ECs4943	NA
gi|15833825|ref|NP_312598.1|	SepZ	ECs4571	NA
gi|38704092|ref|NP_311370.2|	hydrogenase 4 Fe-S subunit	ECs3343	NA
gi|15833866|ref|NP_312639.1|	acetolactate synthase catalytic subunit	ECs4612	NA
gi|15832615|ref|NP_311388.1|	phosphoribosylaminoimidazole synthetase	ECs3361	NA
gi|15832849|ref|NP_311622.1|	RNA polymerase sigma factor RpoS	ECs3595	NA
gi|15832848|ref|NP_311621.1|	MarR family transcriptional regulator	ECs3594	NA
gi|15832056|ref|NP_310829.1|	antirestriction protein	ECs2802	NA
gi|15833863|ref|NP_312636.1|	hypothetical protein ECs4609	ECs4609	NA
gi|15833860|ref|NP_312633.1|	UhpA family transcriptional regulator	ECs4606	NA
gi|15833861|ref|NP_312634.1|	hypothetical protein ECs4607	ECs4607	NA
gi|15832843|ref|NP_311616.1|	DNA mismatch repair protein MutS	ECs3589	NA
gi|15832842|ref|NP_311615.1|	hypothetical protein ECs3588	ECs3588	NA
gi|15832841|ref|NP_311614.1|	formate hydrogenlyase transcriptional activator	ECs3587	NA
gi|15831332|ref|NP_310105.1|	nitrate-inducible formate dehydrogenase-N alpha subunit	ECs2078	NA
gi|15832847|ref|NP_311620.1|	phenylacrylic acid decarboxylase	ECs3593	NA
gi|15832846|ref|NP_311619.1|	4-hydroxybenzoate decarboxylase	ECs3592	NA
gi|15832845|ref|NP_311618.1|	hypothetical protein ECs3591	ECs3591	NA
gi|15832844|ref|NP_311617.1|	serine/threonine-specific protein phosphatase 2	ECs3590	NA
gi|15834598|ref|NP_313371.1|	hypothetical protein ECs5344	ECs5344	NA
gi|15833829|ref|NP_312602.1|	EscC	ECs4575	NA
gi|15833628|ref|NP_312401.1|	arsenical pump membrane protein	ECs4374	NA
gi|38704091|ref|NP_311368.2|	glycine cleavage system transcriptional repressor	ECs3341	gcvR
gi|15833814|ref|NP_312587.1|	protein CesT	ECs4560	NA
gi|15833944|ref|NP_312717.1|	D-ribose pyranase	ECs4690	NA
gi|15830108|ref|NP_308881.1|	8-amino-7-oxononanoate synthase	ECs0854	NA
gi|15830109|ref|NP_308882.1|	biotin biosynthesis protein BioC	ECs0855	NA
gi|15830104|ref|NP_308877.1|	hypothetical protein ECs0850	ECs0850	NA
gi|15830105|ref|NP_308878.1|	kinase inhibitor protein	ECs0851	NA
gi|15830106|ref|NP_308879.1|	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	ECs0852	NA
gi|15830107|ref|NP_308880.1|	biotin synthase	ECs0853	NA
gi|15830100|ref|NP_308873.1|	hypothetical protein ECs0846	ECs0846	NA
gi|15830101|ref|NP_308874.1|	hypothetical protein ECs0847	ECs0847	NA
gi|15830102|ref|NP_308875.1|	hypothetical protein ECs0848	ECs0848	NA
gi|15830103|ref|NP_308876.1|	hypothetical protein ECs0849	ECs0849	NA
gi|15832996|ref|NP_311769.1|	transcriptional regulator	ECs3742	NA
gi|15834112|ref|NP_312885.1|	ATP-dependent protease ATP-binding protein HslU	ECs4858	hslU
gi|15834111|ref|NP_312884.1|	1,4-dihydroxy-2-naphthoate octaprenyltransferase	ECs4857	NA
gi|15834110|ref|NP_312883.1|	ribonuclease activity regulator protein RraA	ECs4856	NA
gi|15834117|ref|NP_312890.1|	50S ribosomal protein L31	ECs4863	rpmE
gi|15834116|ref|NP_312889.1|	primosome assembly protein PriA	ECs4862	NA
gi|15831408|ref|NP_310181.1|	hypothetical protein ECs2154	ECs2154	NA
gi|15831409|ref|NP_310182.1|	hypothetical protein ECs2155	ECs2155	NA
gi|15831406|ref|NP_310179.1|	transporter	ECs2152	NA
gi|15831407|ref|NP_310180.1|	damage-inducible protein	ECs2153	NA
gi|15831404|ref|NP_310177.1|	hypothetical protein ECs2150	ECs2150	NA
gi|15831405|ref|NP_310178.1|	oxidoreductase	ECs2151	NA
gi|15831402|ref|NP_310175.1|	3-hydroxy acid dehydrogenase	ECs2148	NA
gi|15831403|ref|NP_310176.1|	hypothetical protein ECs2149	ECs2149	NA
gi|15831400|ref|NP_310173.1|	competence damage-inducible protein A	ECs2146	NA
gi|15829664|ref|NP_308437.1|	esterase	ECs0410	NA
gi|15833489|ref|NP_312262.1|	hypothetical protein ECs4235	ECs4235	NA
gi|15832804|ref|NP_311577.1|	glutamate--cysteine ligase	ECs3550	NA
gi|15833949|ref|NP_312722.1|	transcriptional repressor RbsR	ECs4695	NA
gi|15833480|ref|NP_312253.1|	tryptophanyl-tRNA synthetase	ECs4226	NA
gi|15833481|ref|NP_312254.1|	phosphoglycolate phosphatase	ECs4227	NA
gi|15833482|ref|NP_312255.1|	ribulose-phosphate 3-epimerase	ECs4228	NA
gi|15833483|ref|NP_312256.1|	DNA adenine methylase	ECs4229	NA
gi|15833484|ref|NP_312257.1|	hypothetical protein ECs4230	ECs4230	NA
gi|15833485|ref|NP_312258.1|	3-dehydroquinate synthase	ECs4231	aroB
gi|15833487|ref|NP_312260.1|	outer membrane porin HofQ	ECs4233	hofQ
gi|38704151|ref|NP_312124.2|	sialic acid transporter	ECs4097	NA
gi|15834291|ref|NP_313064.1|	acid phosphatase/phosphotransferase	ECs5037	aphA
gi|15834328|ref|NP_313101.1|	histidine protein kinase	ECs5074	NA
gi|38704097|ref|NP_311414.2|	3-mercaptopyruvate sulfurtransferase	ECs3387	sseA
gi|15831748|ref|NP_310521.1|	hypothetical protein ECs2494	ECs2494	NA
gi|15833518|ref|NP_312291.1|	hypothetical protein ECs4264	ECs4264	NA
gi|15834424|ref|NP_313197.1|	PTS system L-ascorbate-specific transporter subunit IIB	ECs5170	NA
gi|15831741|ref|NP_310514.1|	methionine sulfoxide reductase B	ECs2487	NA
gi|15831742|ref|NP_310515.1|	glyceraldehyde-3-phosphate dehydrogenase	ECs2488	NA
gi|15831745|ref|NP_310518.1|	scaffolding protein in the formation of a murein-synthesizing holoenzyme	ECs2491	NA
gi|15831744|ref|NP_310517.1|	aldehyde reductase	ECs2490	NA
gi|15831747|ref|NP_310520.1|	hypothetical protein ECs2493	ECs2493	NA
gi|15831746|ref|NP_310519.1|	hypothetical protein ECs2492	ECs2492	NA
gi|15829744|ref|NP_308517.1|	trigger factor	ECs0490	tig
gi|15829745|ref|NP_308518.1|	ATP-dependent Clp protease proteolytic subunit	ECs0491	clpP
gi|15829746|ref|NP_308519.1|	ATP-dependent protease ATP-binding protein ClpX	ECs0492	clpX
